Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7175d8a0e2ae50808a2e89756f8419b3b2f418d1442263a3b4cb7bbe63d58321,2013-07,South Wales Police,South Wales Police,-3.790629,51.594740,On or near GWYN TERRACE,W01000886,Neath Port Talbot 017C,Investigation complete; no suspect identified
25febcdbaf09a7dc9963dd0e9568b2d3841bae54d0ecb4bc00671112f629bcd0,2013-07,South Wales Police,South Wales Police,-3.247884,51.495492,On or near POPLAR CLOSE,W01001751,Cardiff 027D,Investigation complete; no suspect identified
ccba06047793496a5a4cd6e99cab5d4b5f72e56b1dd4b6209870a2b61327ce03,2013-07,South Wales Police,South Wales Police,-3.153432,51.476245,On or near TITAN ROAD,W01001874,Cardiff 038D,Investigation complete; no suspect identified
ac7ced98e83df1db20ac8e00443417c054f8887af500af0a6972f275d4037b4e,2013-07,South Wales Police,South Wales Police,-3.253787,51.492749,On or near WILLOWDALE ROAD,W01001751,Cardiff 027D,Investigation complete; no suspect identified
8ab9f3cdfac46c2c804af92a85f1c4ea6fa0be70d53d6b2c96f108b8efca77b6,2013-07,South Wales Police,South Wales Police,-3.923046,51.671067,On or near LLYS DOL,W01000809,Swansea 008A,Investigation complete; no suspect identified
64213e1d30476bf052c747daa52c7be7d691fc2d27cb3d3be3646804e2e90203,2013-07,South Wales Police,South Wales Police,-3.562802,51.508811,On or near Pedestrian Subway,W01000982,Bridgend 016C,Investigation complete; no suspect identified
a1e2d560b439d93208b96ddebd99919fa6ec0e797c1fff51c6988f6b4ab313fc,2013-07,South Wales Police,South Wales Police,-3.174301,51.478673,On or near Parking Area,W01001941,Cardiff 032G,Investigation complete; no suspect identified
83578a9c600c86abda5e43261e28574abafb08edaad8fd5057c80f69ddfb0e75,2013-07,South Wales Police,South Wales Police,-3.969099,51.652526,On or near MARLOES COURT,W01000832,Swansea 011B,Investigation complete; no suspect identified
5e882ceef5290434cf0f9133e05808823cdebce6bba92df2a2ee0f83022f3342,2013-07,South Wales Police,South Wales Police,-3.569548,51.510115,On or near HEOL-Y-COED RISE,W01000981,Bridgend 016B,Investigation complete; no suspect identified
cef6b8d23c5946af3bc85616529cd98e3c73eba7cd02600b0e31f79163c8e9fe,2013-07,South Wales Police,South Wales Police,-3.810487,51.595982,On or near HEOL DALTON,W01000957,Neath Port Talbot 017D,Investigation complete; no suspect identified
5e9b14bfb1a3747f78033c1a37188bb303e7141b2c84b6bc9a0d066375eadf70,2013-07,South Wales Police,South Wales Police,-3.255223,51.480514,On or near STANWAY PLACE,W01001741,Cardiff 039E,Investigation complete; no suspect identified
4eca45436e8d19d591156fa6bc934b685364f0ef3643a90c9d165d1e604aa726,2013-07,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
3db67301977e576d0577e3269d3c297fd3e15accadf566b2b88b15ef6c7630a4,2013-07,South Wales Police,South Wales Police,-3.253980,51.409463,On or near HILLARY RISE,W01001073,The Vale of Glamorgan 015E,Investigation complete; no suspect identified
06ce209fed259b62da11af5bb2c5bca8093b1b86199bc219e0eae9ce0c2c544b,2013-07,South Wales Police,South Wales Police,-3.774351,51.586786,On or near WYNDHAM STREET,W01000952,Neath Port Talbot 018D,Investigation complete; no suspect identified
279fab5ae6fbe6ef14a4adef82d8264e87a603102ebc63142168a277ee9ae01b,2013-07,South Wales Police,South Wales Police,-3.219450,51.512309,On or near Supermarket,W01001891,Cardiff 020C,Investigation complete; no suspect identified
ba47c7f6faca58e3bea126c04ba2269425f52072cdec10d624ad93edb91a575d,2013-07,South Wales Police,South Wales Police,-3.653544,51.604665,On or near PRINCESS STREET,W01001018,Bridgend 002D,Investigation complete; no suspect identified
6507457c3c7e5afcd8bd5d903fb202f2558392e6acb7f02c61857515049f38c8,2013-07,South Wales Police,South Wales Police,-3.147647,51.530280,On or near PENTWYN ROAD,W01001817,Cardiff 009C,Investigation complete; no suspect identified
d6cd2714bd8eebfa83b295e138721b350659010cfacaf28ed85d72a9e64a3ab4,2013-07,South Wales Police,South Wales Police,-4.069955,51.629514,On or near BRYN-Y-MOR,W01000772,Swansea 018A,Investigation complete; no suspect identified
48c8cc3dbaab9335c4b62c9584231d24b5ca04fa6f88cc824f46f4dd9717a8c4,2013-07,South Wales Police,South Wales Police,-3.160627,51.468693,On or near GALLEON WAY,W01001944,Cardiff 048C,Investigation complete; no suspect identified
9e49ac26f1e343cdba8e105b95f559f6dcf9c4c3d6ad05eb51a6c91f58c5403a,2013-07,South Wales Police,South Wales Police,-3.812121,51.602197,On or near ACACIA AVENUE,W01000962,Neath Port Talbot 016D,Investigation complete; no suspect identified
e05dadd4be130399091efb81fa833dca55e235a7979e86e6dcfa409f3e0d668c,2013-07,South Wales Police,South Wales Police,-3.286942,51.396382,On or near WELFORD STREET,W01001062,The Vale of Glamorgan 013A,Investigation complete; no suspect identified
dd4ed2eb64bf4d66e155597fa6bc54652e33c5b49a7db40f2ad64cde9e9d215d,2013-07,South Wales Police,South Wales Police,-3.559713,51.503583,On or near CLOSE BELOW THE HILLSIDE,W01000982,Bridgend 016C,Investigation complete; no suspect identified
0bdd5b1fbbb0d327497d7213083c35b18e264006ddceba856f48d839e476c882,2013-07,South Wales Police,South Wales Police,-3.570905,51.504324,On or near Petrol Station,W01001035,Bridgend 014E,Investigation complete; no suspect identified
c6f7445713b16a21754622a71af7894e83492dcdf0fe98e24a1ee32a0e966638,2013-07,South Wales Police,South Wales Police,-3.946916,51.632123,On or near CARMARTHEN ROAD,W01000744,Swansea 016B,Investigation complete; no suspect identified
